time,duty,v_in,current_motor,current_in
0.052,0.0,20.2,0.0,0.0
0.103,0.01,20.2,0.12,0.0
0.154,0.019,20.2,1.37,0.0
0.206,0.03,20.2,10.68,0.13
0.257,0.039,20.2,20.18,0.43
0.308,0.049,20.2,33.88,1.01
0.359,0.06,20.2,40.29,1.5
0.411,0.07,20.2,17.31,0.83
0.462,0.08,20.2,17.54,0.99
0.513,0.09,20.2,19.2,1.24
0.564,0.099,20.2,17.65,1.31
0.615,0.099,20.2,18.14,1.47
0.666,0.09,20.2,15.03,1.2
0.717,0.079,20.2,14.11,1.01
0.769,0.07,20.2,13.9,0.88
0.82,0.06,20.2,14.51,0.76
0.871,0.049,20.2,12.48,0.55
0.922,0.039,20.2,13.39,0.48
0.973,0.03,20.2,10.4,0.29
1.024,0.02,20.2,9.76,0.19
1.076,-0.009,20.2,7.1,0.1
1.127,0.0,20.2,-1.87,0.0
1.178,-0.01,20.2,-0.02,0.0
1.229,-0.019,20.2,2.39,0.03
1.28,-0.03,20.2,14.41,0.24
1.331,-0.04,20.2,26.57,0.65
1.382,-0.049,20.2,40.8,1.34
1.433,-0.059,20.2,49.09,1.94
1.485,-0.07,20.2,39.95,1.77
1.536,-0.079,20.2,6.47,0.38
1.587,-0.089,20.2,5.87,0.4
1.638,-0.099,20.2,5.99,0.45
1.689,-0.099,20.2,5.43,0.42
1.741,-0.089,20.2,3.86,0.26
1.792,-0.079,20.2,2.73,0.16
1.843,-0.069,20.2,2.61,0.15
1.894,-0.06,20.2,2.31,0.11
1.945,-0.049,20.2,3.27,0.12
1.996,-0.039,20.2,3.4,0.1
2.048,-0.03,20.2,2.98,0.07
2.099,-0.019,20.2,1.84,0.02
2.15,-0.009,20.2,1.92,0.02
2.201,0.0,20.2,0.29,0.0
2.252,0.0,20.2,0.11,0.0
2.304,0.01,20.2,0.76,0.0
