time,duty,v_in,current_motor,current_in
0.051,0.0,20.2,0.0,0.0
0.103,0.009,20.2,0.14,0.0
0.154,0.019,20.2,1.33,0.0
0.205,0.029,20.2,7.24,0.09
0.257,0.039,20.2,19.91,0.43
0.308,0.049,20.2,33.28,0.99
0.359,0.06,20.2,40.77,1.52
0.41,0.069,20.2,15.62,0.74
0.462,0.079,20.2,13.26,0.75
0.513,0.09,20.2,14.7,0.96
0.564,0.099,20.2,14.91,1.1
0.615,0.099,20.2,13.68,1.11
0.666,0.09,20.2,12.29,0.98
0.718,0.079,20.2,9.97,0.7
0.769,0.069,20.2,10.37,0.65
0.82,0.059,20.2,11.76,0.55
0.871,0.049,20.2,8.79,0.38
0.922,0.04,20.2,9.93,0.34
0.973,0.03,20.2,10.24,0.28
1.025,0.02,20.2,7.64,0.14
1.076,0.009,20.2,5.7,0.06
1.127,0.0,20.2,0.01,0.0
1.178,0.01,20.2,-0.35,0.0
1.229,-0.019,20.2,2.71,0.04
1.28,-0.03,20.2,14.86,0.25
1.331,-0.039,20.2,26.68,0.67
1.383,-0.049,20.2,38.36,1.24
1.434,-0.06,20.2,49.19,1.94
1.485,-0.069,20.2,19.04,0.82
1.536,-0.08,20.2,7.61,0.44
1.587,-0.09,20.2,7.81,0.53
1.638,-0.099,20.2,8.07,0.62
1.69,-0.099,20.2,6.65,0.53
1.741,-0.09,20.2,5.44,0.39
1.792,-0.08,20.2,4.56,0.29
1.843,-0.07,20.2,4.17,0.24
1.894,-0.059,20.2,4.47,0.22
1.945,-0.049,20.2,4.97,0.19
1.997,-0.039,20.2,4.63,0.14
2.048,-0.029,20.2,4.15,0.1
