time,duty,v_in,current_motor,current_in
0.051,0.0,20.2,0.0,0.0
0.103,0.01,20.2,0.13,0.0
0.154,0.02,20.2,1.36,0.0
0.206,0.03,20.2,6.66,0.08
0.257,0.04,20.2,19.94,0.43
0.308,0.049,20.2,33.69,1.0
0.359,0.06,20.2,41.42,1.54
0.411,0.07,20.2,15.19,0.71
0.462,0.079,20.2,14.15,0.8
0.513,0.09,20.2,12.97,0.84
0.564,0.099,20.2,14.01,1.04
0.615,0.1,20.2,13.56,1.09
0.666,0.09,20.2,11.07,0.88
0.718,0.079,20.2,10.27,0.73
0.769,0.069,20.2,9.15,0.57
0.82,0.06,20.2,12.69,0.62
0.871,0.049,20.2,8.65,0.38
0.923,0.04,20.2,9.37,0.32
0.974,0.03,20.2,7.94,0.21
1.025,0.019,20.2,6.8,0.13
1.076,-0.009,20.2,6.23,0.08
1.127,0.0,20.2,-1.74,0.0
1.179,-0.01,20.2,0.27,0.0
1.23,-0.02,20.2,2.7,0.02
1.281,-0.03,20.2,8.52,0.16
1.332,-0.039,20.2,25.74,0.64
1.383,-0.049,20.2,40.02,1.32
1.434,-0.06,20.2,48.87,1.94
1.485,-0.069,20.2,34.92,1.55
1.537,-0.08,20.2,8.6,0.5
1.588,-0.09,20.2,7.87,0.54
1.639,-0.1,20.2,7.95,0.61
1.69,-0.099,20.2,7.21,0.58
1.741,-0.09,20.2,5.58,0.41
1.792,-0.079,20.2,4.53,0.29
1.843,-0.07,20.2,3.92,0.22
1.895,-0.06,20.2,4.3,0.21
1.946,-0.049,20.2,4.41,0.17
1.997,-0.04,20.2,4.26,0.12
2.048,-0.03,20.2,3.34,0.08
2.099,-0.019,20.2,4.15,0.07
2.15,-0.009,20.2,2.06,0.03
2.202,0.0,20.2,-0.32,0.0
2.253,0.0,20.2,0.11,0.0
