time,duty,v_in,current_motor,current_in
0.051,0.0,20.2,0.0,0.0
0.103,0.009,20.2,0.1,0.0
0.154,0.019,20.2,1.3,0.0
0.205,0.03,20.2,8.57,0.11
0.257,0.039,20.2,20.68,0.45
0.308,0.05,20.2,33.63,1.01
0.359,0.059,20.2,41.11,1.53
0.411,0.07,20.2,16.31,0.77
0.462,0.079,20.2,16.07,0.91
0.513,0.089,20.2,16.31,1.06
0.564,0.099,20.2,16.15,1.2
0.615,0.099,20.2,16.84,1.37
0.667,0.09,20.2,13.27,1.06
0.718,0.079,20.2,13.13,0.94
0.769,0.07,20.2,11.31,0.71
0.82,0.06,20.2,13.29,0.67
0.872,0.049,20.2,14.88,0.65
0.923,0.039,20.2,11.25,0.39
0.974,0.03,20.2,9.5,0.26
1.025,0.019,20.2,9.92,0.19
1.076,-0.01,20.2,7.55,0.11
1.127,0.0,20.2,-2.58,0.0
1.178,0.01,20.2,-1.47,0.0
1.23,-0.02,20.2,0.78,0.0
1.281,-0.03,20.2,12.16,0.2
1.332,-0.04,20.2,28.02,0.7
1.383,-0.049,20.2,40.21,1.34
1.434,-0.059,20.2,51.55,2.09
1.485,-0.063,20.2,57.8,2.6
1.536,-0.08,20.2,27.26,1.35
1.588,-0.089,20.2,7.06,0.48
1.639,-0.099,20.2,6.89,0.53
1.69,-0.099,20.2,5.06,0.39
1.741,-0.09,20.2,4.31,0.28
1.792,-0.079,20.2,3.06,0.18
1.844,-0.07,20.2,2.81,0.15
1.895,-0.06,20.2,2.54,0.12
1.946,-0.049,20.2,2.99,0.1
1.997,-0.039,20.2,4.02,0.12
2.048,-0.03,20.2,3.45,0.07
2.099,-0.02,20.2,1.99,0.03
2.151,0.01,20.2,0.88,0.0
2.202,0.0,20.2,-0.43,0.0
2.253,0.0,20.2,0.12,0.0
2.304,0.01,20.2,0.79,0.0
2.356,0.02,20.2,5.53,0.06
2.407,0.03,20.2,12.09,0.23
2.458,0.039,20.2,29.15,0.8
2.509,0.049,20.2,39.03,1.35
2.56,0.06,20.2,25.46,1.04
2.612,0.07,20.2,14.45,0.76
2.663,0.08,20.2,15.16,0.93
2.714,0.09,20.2,16.01,1.14
2.765,0.099,20.2,16.04,1.27
2.816,0.1,20.2,15.04,1.22
2.868,0.09,20.2,12.41,0.93
2.919,0.079,20.2,11.64,0.77
2.97,0.069,20.2,13.29,0.74
3.021,0.06,20.2,10.97,0.53
3.072,0.049,20.2,11.5,0.44
3.124,0.04,20.2,10.79,0.32
3.175,0.03,20.2,10.86,0.24
3.226,0.02,20.2,11.87,0.16
3.277,-0.009,20.2,-1.68,0.02
3.328,0.0,20.2,-0.73,0.0
3.38,-0.01,20.2,-0.17,0.01
3.431,-0.019,20.2,3.23,0.03
3.482,-0.03,20.2,19.54,0.4
3.533,-0.039,20.2,36.31,1.08
3.585,-0.053,20.2,48.26,1.83
3.636,-0.063,20.2,57.89,2.61
3.687,-0.076,20.2,59.3,2.75
3.738,-0.09,20.2,18.3,1.03
3.789,-0.099,20.2,7.58,0.55
3.841,-0.099,20.2,6.64,0.52
3.892,-0.09,20.2,4.63,0.35
3.943,-0.079,20.2,2.84,0.18
3.994,-0.07,20.2,2.81,0.16
4.045,-0.06,20.2,2.47,0.12
4.096,-0.05,20.2,3.71,0.15
4.148,-0.04,20.2,3.85,0.12
4.199,-0.029,20.2,3.97,0.1
